database_identifier	chemical_formula	smiles	inchi	metabolite_identification	chemical_shift	multiplicity	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	aps_p2	aps_p6	aps_d10	aps_d11	aps_d12	aps_d13	aps_d14	aps_p3	aps_d15	aps_d16	aps_d17	aps_d19	aps_d18	aps_p14	aps_p4	aps_p27	aps_p26	aps_p25	aps_p24	aps_p23	aps_p21	aps_p20	aps_p22	aps_d9	aps_p9	aps_p7	aps_p8	aps_d8	aps_d7	aps_d6	aps_d5	aps_d4	aps_d3	aps_d2	aps_p1	aps_d1	aps_p13	aps_p10	aps_p11	aps_p18	aps_p19	aps_p16	aps_p12	aps_p17	aps_p15	aps_d26	aps_d25	aps_d27	aps_d22	aps_d21	aps_d24	aps_d23	aps_d20	aps_p5
CHEBI:1148	C4H8O3	CCC(O)C(O)=O	InChI=1S/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)	2-Hydroxybutyrate			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							135	26.2	186.3	65.3	32.3	11.1	14.7	27.8	57.4	62.6	22.2	12.3	12.3	211.1	148.1	41.9	48.7	263.2	174.6	89.3	28.5	28.2	21.9	14.5	81.8	78.2	79.2	69.6	68.7	53.7	202.9	24.2	241.1	124.3	102.7	38.4	70.3	30.7	34.4	28.7	35.2	101.8	67.7	44.7	10	68.8	328.0	204.4	45.2	235.5	91.5	39.7	62.5	58.8
CHEBI:20067	C4H8O3	CC(O)CC(O)=O	InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)	3-Hydroxybutyrate			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							10.2	15.9	44.9	85.4	24.4	75.5	22.4	24.7	52.6	74.3	40.1	7.2	7.2	30.3	32.1	19.3	47.5	21.4	37.6	9.1	79	12	17.6	63.3	321.4	42.8	12	20.6	13.4	48.8	34.1	32.8	66.3	49.2	22.4	21	32.2	34.8	5.3	30.1	47.1	13.9	44.6	31.7	17.3	58.4	65.5	87.1	40.5	37.7	70.1	30.2	88.3	7.9
CHEBI:46195	C8H9NO2	CC(=O)Nc1ccc(O)cc1	InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)	Acetaminophen			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							6.3	16	22.2	9	22.2	7.7	11.1	6.7	8.4	6.5	21.2	6.9	6.9	20.6	4	8.7	23.8	13	17.6	12.8	6.1	2.8	16.8	16.8	9.2	30.7	17.4	20.9	4.9	13.2	21.5	20.1	30.6	27.2	9.9	6.2	7.3	10.3	6.3	8.4	6.6	12.7	8.8	6.5	14.9	37.2	49.1	65	33.2	27	44	7.9	54.6	8
CHEBI:15366	C2H4O2	CC(O)=O	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)	Acetate			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							10.5	17.5	40	19.4	14	13.8	15.1	12.5	14.5	20.5	71.5	24	24	16.4	8.6	15.9	37.9	28.7	39	13.7	10.9	6	27.3	16.3	16.6	51.1	21.7	30.3	10.2	11.2	27.9	22.6	49.5	40.7	19.6	6.1	12.2	14.5	7.4	10.4	9.5	18	9.7	13.3	12.7	60.4	52	81.7	31.1	29	37.3	4.9	74.5	15.7
CHEBI:15344	C4H6O3	CC(=O)CC(O)=O	InChI=1S/C4H6O3/c1-3(5)2-4(6)7/h2H2,1H3,(H,6,7)	Acetoacetate			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							68.9	44	37.4	57.4	44.7	67.6	49.2	41.1	32.6	7.9	24.3	65.1	65.1	23.4	42.3	53.3	74.7	131.1	66.5	71.4	24.7	23.3	68.2	28.9	55	60	71.3	29.3	86	11.6	70.4	15.3	41.9	39.1	42.6	40.8	70.8	37.9	7.8	44.9	42.8	97.4	35.5	98.3	93.7	50.8	54.2	78.1	35.7	26.6	37.1	38.7	191.4	47.7
CHEBI:15347	C3H6O	CC(C)=O	InChI=1S/C3H6O/c1-3(2)4/h1-2H3	Acetone			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							13.7	5.9	21.7	10.6	2.5	62.5	8.7	6.9	10.7	17.7	13	7.9	7.9	13.4	6.7	6.1	16.8	11	14.8	5.9	4.3	2.1	10.5	14.9	5	40.1	8	19.2	2.7	6.7	15.3	9.7	24.7	18.8	9.6	1.8	5	6.6	4.1	3.8	7.6	8.9	4.8	4.1	8.1	28.1	31.5	51.6	19.1	12.9	17.6	12.9	39.5	4.5
CHEBI:16449	C3H7NO2	CC(N)C(O)=O	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)	Alanine			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							43.4	59.9	72	26.3	143.4	25.1	46	31.7	36	44.1	71.6	38.7	38.7	70	21.5	31.3	62.4	74.5	41.7	41	10.7	16.3	39.3	14.2	52.4	58.6	50.5	34.7	33.8	26	51.1	61.6	90	95.3	35	20.1	37.1	30.7	20.6	23.6	27	56.4	35.1	24.9	77	118.3	81.1	111.5	59.7	63.3	116.7	18.9	91.6	31.9
CHEBI:29016	C6H14N4O2	NC(CCCNC(N)=N)C(O)=O	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	Arginine			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							33	178.1	203.7	139.8	139.4	193.4	288.1	81.4	192.8	115.5	85.4	114.1	114.1	136.5	116.3	78.7	325.2	1262.6	952.5	1214.5	47.8	140.4	169.6	63.9	88	88.9	160.1	165.2	111.7	53.5	209.2	67.9	267.9	224.8	146.9	175.4	326	100.8	55.1	164.2	153.6	407.2	63.3	195.2	351.9	206.5	305.6	190.7	163.7	158.8	371.7	46.8	106.5	222.7
CHEBI:22653	C4H8N2O3	NC(CC(N)=O)C(O)=O	InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)	Asparagine			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							119.7	75.4	196.1	81.9	82	29.2	90.2	42.8	67.5	82.1	128	77.4	77.4	185.2	115.7	50.5	161.2	226.3	214.7	88.3	30.3	28.3	98.6	18.1	71.2	93.3	90	80.1	40.3	75.3	98.4	98.4	243.1	121.7	79.4	37.2	70.7	35.4	44.5	9.6	30	97.2	73.9	58.5	171.7	214.6	254.2	193.0	229.9	171.9	281.1	93.8	275	55.1
CHEBI:22660	C4H7NO4	NC(CC(O)=O)C(O)=O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)	Aspartate			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							53.6	42	182.5	81.4	26.5	17.4	41.5	12.6	66.6	35.4	143.2	62.5	62.5	292.8	46.9	42.7	221.1	132.2	203.8	83	21.8	11.6	83.2	0.01	27.7	345.2	53.2	151	17.1	31	193.8	90.3	259.3	189.5	44.5	18.2	48.9	23.4	19.6	9.3	14.7	50.6	75.7	27.1	286.2	184.6	247.9	144.5	125.9	136.1	206.5	163.8	212.5	59.5
CHEBI:17750	C5H11NO2	C[N+](C)(C)CC([O-])=O	InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3	Betaine			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							57.6	47.8	53.7	39.1	31	40.4	77.4	53.1	31.7	39.6	48.7	49.1	49.1	65.7	42.8	43.9	54.9	31.8	48	51.8	18.8	36.3	58	20.7	54	28	64.9	42.2	75.7	13.2	17.6	26.6	36.6	24.8	49	27.5	76.5	28.6	10	13	32.1	61.9	51.5	69.4	80.1	52.2	26.5	31.4	22.4	17.8	18	16.8	34.8	53.3
CHEBI:17126	C7H15NO3	C[N+](C)(C)CC(O)CC([O-])=O	InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3	Carnitine			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							17.2	11.4	200.9	113.7	45.2	31.1	21.7	6.9	14.2	30.5	49.9	10.2	10.2	124.1	7.4	7	13.9	19.9	8.2	22.5	4.8	25	16.7	52.7	30.7	28	19.5	114.4	55	119.2	11.5	213.3	35.8	301.2	7.9	113.4	18.7	12.4	9.8	12.7	12.1	22.5	113.5	16.8	33.3	146.9	23.6	274.2	22.8	14.3	164.1	157	31.3	5.5
CHEBI:15354	C5H14NO+	C[N+](C)(C)CCO	InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1	Choline			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							10.6	4.6	10.9	36.6	13.9	23.3	12.5	18.3	48.8	5.2	22.1	2.6	2.6	95.6	3.4	9.5	8.7	11.1	6.9	10.5	4.8	15.1	5.2	3.6	18.1	10.8	14.8	14.4	15.1	22	13	17.6	14.5	9.3	7.4	7.2	6.7	13.9	10	16.5	21.9	107.9	51.8	52.3	8.7	10.3	24.8	14.5	13.6	12.1	27.2	11	22.6	4.8
CHEBI:30769	C6H8O7	OC(=O)CC(O)(CC(O)=O)C(O)=O	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)	Citrate			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							26.7	29.1	95.5	36.7	12.6	10.7	27.1	10.9	25.7	33.1	75.9	26.2	26.2	65.1	22.7	9.9	66.9	54.7	73.5	27.8	12	10.7	37.8	5	19.3	10.8	31.2	80.8	11.6	22.5	74.9	47.5	124	105.4	21.5	13.4	24.2	16.8	13.6	9.1	14.1	34.8	21.3	17.2	55.6	145.8	115	206	115.2	69.4	98.5	4.8	135	21.4
CHEBI:16919	C4H9N3O2	CN(CC(O)=O)C(N)=N	InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)	Creatine			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							16.3	49.8	37.6	19.5	9.2	36.4	12.7	25.6	30.6	18.5	56.5	9.9	9.9	45.8	29.1	24.8	53.2	27.9	38.2	38.1	16.3	17.5	43.6	29.3	8.1	29.4	39.8	39.3	45.4	12.4	50.5	16.6	38.9	51.6	45.3	16.4	29.9	10	5.6	29.1	28.1	59.4	27.3	52.5	31.7	48.2	84.2	135.7	52.1	26.8	57	63.7	159	28.6
CHEBI:16737	C4H7N3O	CN1CC(=O)NC1=N	InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)	Creatinine			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							24.9	21.2	42.4	23.6	9.8	47.2	19.9	7.4	16.3	22.6	67.1	30.3	30.3	26.6	10.8	21.4	31.7	49.7	23.6	19.4	7.4	17.5	20.5	44.3	9.8	25.9	19.5	75.1	11.5	19.1	57.9	21.5	71.2	32.3	12.7	6.6	14.9	10.6	7.6	10.4	30.2	38.3	16.2	14.1	35.1	56.6	53.3	28.7	25.7	28.3	51.6	32.9	49.9	15
CHEBI:15356	C3H7NO2S	NC(CS)C(O)=O	InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)	Cysteine			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							96.5	43.3	108	63.7	37.8	12.5	53.2	91.9	58	45.9	212.3	84.5	84.5	137.3	118.9	123.4	125.3	186.2	132.6	72.5	20.6	79.3	72.2	56.3	39.2	122.8	92.4	67.1	47.6	87.6	154.5	86.3	204.6	189.2	54.1	23.3	50.6	45.5	24.1	16.3	113.3	76.3	62.1	35.5	126	112.1	124.1	124.2	130.2	117.4	210.2	47	130.1	48.9
CHEBI:17376	C6H12N2O4S2	NC(CSSCC(N)C(O)=O)C(O)=O	InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)	Cystine			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							49.5	42.8	131.4	72.2	106.4	19.8	45.4	13.6	32.3	0.01	364.4	10.6	10.6	87.7	37.8	39.9	124.9	142	139.7	56	29.2	17.7	72.3	7	123.5	53.8	52.1	79.5	67	42.8	142.4	80.7	193.4	141.4	48	20	33.9	33.3	22.1	0.01	16	59	53.4	63.7	125.4	176.7	153.8	137.7	225.2	112.1	292.4	165.8	183.8	32.9
CHEBI:16236	C2H6O	CCO	InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3	Ethanol			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							0.01	0.01	0.01	0.01	10.9	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
CHEBI:30751	CH2O2	[H]C(O)=O	InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)	Formate			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							18.6	63.6	79.9	32.3	16.1	29.4	40.9	17.2	25.7	44.1	109.1	35.1	35.1	42.2	8.3	22.8	94.5	49.2	104.2	17	25.6	10.3	53	16.3	31.8	46.6	32.5	115.4	4.1	26.9	119.3	41.5	112.6	19.1	29.5	16.2	30.8	28.3	35.4	6.4	10.7	34.4	21.6	16.9	28.6	164.6	104.8	82.9	109.2	15.1	102.5	43.2	97.3	40.6
CHEBI:17234	C6H12O6			Glucose			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							887.3	685	992	453.6	451.8	522	876.8	537.9	589.2	1465.4	1785.8	549	549	1149.8	445	411.4	759.4	1898.7	478.7	710.4	587.4	276.5	470.2	224.5	338.3	847.8	552.9	823.4	576.6	336.6	515.5	1315.6	1342.3	1596.9	693.6	500.2	752.2	476.9	286.7	412	590.7	845	372.2	626.8	1403	1420.6	1500.1	1442.2	1582.3	831.7	917.6	826.4	547.9	439
CHEBI:18237	C5H9NO4	NC(CCC(O)=O)C(O)=O	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)	Glutamate			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							0.01	176.5	269.5	80.5	142.2	33.2	158.9	145.3	86.4	129.9	251	77.4	77.4	277.6	168.4	113.8	324.8	656.5	279.7	345	78.1	84.4	186.2	0.01	91	558	196.5	124.3	94.5	113.6	229.3	329	645	433.3	195.6	131.2	288.4	149.6	26.9	206.2	153.8	118.3	103.5	76.7	369.6	374.7	161.2	147.1	205.6	272.7	374.3	222.1	134.5	97.6
CHEBI:28300	C5H10N2O3	NC(CCC(N)=O)C(O)=O	InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)	Glutamine			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							354.4	384.3	229.4	210.5	408.3	907.3	94.2	837.9	282.6	521.4	99.6	37.4	37.4	295.6	152.8	581.9	1097.5	414.4	1135	162.9	347.1	160.8	123.1	539.6	515.2	1617	503.6	577.5	592.9	479.2	0.01	453.3	378.5	678.4	182.3	238.8	447.6	84.8	512.5	489.8	179.2	437.7	509	326.7	163.4	343.9	252.1	382.3	197.6	165.1	290.2	304.6	225.9	305.9
CHEBI:17754	C3H8O3	OCC(O)CO	InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2	Glycerol			NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens			4:good reliability							29.7	227.2	450.6	310.4	132.5	1061.8	1302.3	48.4	916.8	1221.1	1605.5	1638.4	1638.4	115.6	54.8	1355.2	1013.6	1305.7	1080.2	1258.4	444.4	163.5	827.3	558.3	491	1869.9	483.3	515.8	545.6	479.7	543.8	1956.5	553.5	2855	87.8	324	298	493.6	491.9	180.2	92.5	466.2	609	222.8	330.2	1121.8	2094.7	1041	2673.1	2084.6	1813.3	1607.6	1613.3	255.6
